Question,Yassine a revu,Khalil a revu
Q1.a) Défi ville propre,,
Q1.b) Type d'endroit,,
Q1.c) Mouvements de Tai chi,,
Q1.d) Visualiser les jeux de soccer,,
Q2.a) Intrusion (ViBe vs Détecteur),,
Q2.b) Vitrine brisée (Anomalie vs Reconnaissance),,
Q2.c) Détection d'immobilité (PCH vs Flot optique),,
Q2.d) Poses (Contour vs LBP),,
